global_time,trial,frameN,x_mm,y_mm,ball_x_pix,ball_color,move_direct,hit
2.398434000002453,0,-7.370510101318359,-7.370510101318359,154.95751953125,35.378448486328125,"""yellow""","""left""",False
2.413168900005985,0,-7.2886199951171875,-7.2886199951171875,155.0404510498047,34.9853759765625,"""yellow""","""left""",False
2.4300927000003867,0,-7.228370666503906,-7.228370666503906,155.09767150878906,34.69617919921875,"""yellow""","""left""",False
2.4471021000063047,0,-7.082244873046875,-7.082244873046875,155.1851348876953,33.994775390625,"""yellow""","""left""",False
2.4635321000241674,0,-6.976097106933594,-6.976097106933594,155.24659729003906,33.48526611328125,"""yellow""","""left""",False
2.4802288000064436,0,-6.768604278564453,-6.768604278564453,155.36297607421875,32.48930053710937,"""yellow""","""left""",False
2.4968554000079166,0,-6.610820770263672,-6.610820770263672,155.39739990234375,31.731939697265624,"""yellow""","""left""",False
2.513536300015403,0,-6.309028625488281,-6.309028625488281,155.52517700195312,30.283337402343747,"""yellow""","""left""",False
2.530149900005199,0,-6.168266296386719,-6.168266296386719,155.6019744873047,29.607678222656247,"""yellow""","""left""",False
2.5472191000008024,0,-5.975345611572266,-5.975345611572266,155.7082061767578,28.681658935546874,"""yellow""","""left""",False
2.563516200025333,0,-5.904083251953125,-5.904083251953125,155.73670959472656,28.339599609375,"""yellow""","""left""",False
2.580306700023357,0,-5.8551483154296875,-5.8551483154296875,155.71615600585938,28.1047119140625,"""yellow""","""left""",False
2.5969733000092674,0,-5.786167144775391,-5.786167144775391,155.637451171875,27.773602294921876,"""yellow""","""left""",False
2.61379180001677,0,-5.699352264404297,-5.699352264404297,155.6184539794922,27.356890869140624,"""yellow""","""left""",False
2.630230800015852,0,-5.609546661376953,-5.609546661376953,155.67015075683594,26.925823974609376,"""yellow""","""left""",False
2.6468946000095457,0,-5.481689453125,-5.481689453125,155.75057983398438,26.312109375,"""yellow""","""left""",False
2.6635322000074666,0,-5.161895751953125,-5.161895751953125,155.92611694335938,24.777099609375,"""yellow""","""left""",False
2.6802071000274736,0,-4.996944427490234,-4.996944427490234,155.984130859375,23.985333251953126,"""yellow""","""left""",False
2.696999700012384,0,-4.661796569824219,-4.661796569824219,156.04498291015625,22.37662353515625,"""yellow""","""left""",False
2.7137167000037152,0,-4.508014678955078,-4.508014678955078,156.01516723632812,21.638470458984376,"""yellow""","""left""",False
2.7302178000099957,0,-4.037700653076172,-4.037700653076172,156.01071166992188,19.380963134765626,"""yellow""","""left""",False
2.746975800022483,0,-3.6468849182128906,-3.6468849182128906,156.034423828125,17.505047607421876,"""yellow""","""left""",False
2.763641600002302,0,-2.59307861328125,-2.59307861328125,156.20176696777344,12.44677734375,"""yellow""","""left""",False
2.7801648000022396,0,-1.8244781494140625,-1.8244781494140625,156.29830932617188,8.7574951171875,"""yellow""","""left""",False
2.7968524000025354,0,-0.13988494873046875,-0.13988494873046875,156.4503631591797,0.67144775390625,"""yellow""","""left""",False
2.8136150000209454,0,0.7789230346679688,0.7789230346679688,156.41098022460938,-3.73883056640625,"""yellow""","""left""",False
2.8301138000097126,0,2.980611801147461,2.980611801147461,156.27142333984375,-14.306936645507813,"""yellow""","""left""",False
2.8468622000073083,0,4.295871734619141,4.295871734619141,156.17762756347656,-20.620184326171874,"""yellow""","""left""",False
2.8634634000191,0,7.251970291137695,7.251970291137695,155.72303771972656,-34.80945739746094,"""yellow""","""left""",False
2.8798087000031956,0,8.805143356323242,8.805143356323242,155.6282501220703,-42.264688110351564,"""yellow""","""left""",False
2.896927699999651,0,12.507610321044922,12.507610321044922,155.78591918945312,-60.036529541015625,"""yellow""","""left""",False
2.9136119000031613,0,14.393741607666016,14.393741607666016,156.009033203125,-69.08995971679687,"""yellow""","""left""",False
2.930189100006828,0,18.191444396972656,18.191444396972656,156.20932006835938,-87.31893310546874,"""yellow""","""left""",False
2.946899600006873,0,20.18267822265625,20.18267822265625,156.1807098388672,-96.87685546875,"""yellow""","""left""",False
2.963559100026032,0,23.92008399963379,23.92008399963379,155.7830352783203,-114.81640319824218,"""yellow""","""left""",False
2.980243600002723,0,25.78330421447754,25.78330421447754,155.53353881835938,-123.75986022949218,"""yellow""","""left""",False
2.996822000015527,0,29.50568389892578,29.50568389892578,155.4908905029297,-141.62728271484374,"""yellow""","""left""",False
3.013645800005179,0,31.353055953979492,31.353055953979492,155.74009704589844,-150.49466857910156,"""yellow""","""left""",False
3.0302510000183247,0,34.91081237792969,34.91081237792969,155.98915100097656,-167.5718994140625,"""yellow""","""left""",False
3.0469717000087257,0,36.59778594970703,36.59778594970703,156.10389709472656,-175.66937255859375,"""yellow""","""left""",False
3.0634817000245675,0,39.679222106933594,39.679222106933594,155.91165161132812,-190.46026611328125,"""yellow""","""left""",False
3.0802897000103258,0,41.026004791259766,41.026004791259766,155.70733642578125,-196.92482299804686,"""yellow""","""left""",False
3.096985100011807,0,43.86671829223633,43.86671829223633,155.33334350585938,-210.56024780273438,"""yellow""","""left""",False
3.113665700017009,0,45.225284576416016,45.225284576416016,155.11074829101562,-217.08136596679688,"""yellow""","""left""",False
3.1302395000238903,0,48.09294128417969,48.09294128417969,154.9217987060547,-230.8461181640625,"""yellow""","""left""",False
3.1467771000170615,0,49.56140899658203,49.56140899658203,154.86253356933594,-237.89476318359374,"""yellow""","""left""",False
3.1634753000107594,0,52.43082046508789,52.43082046508789,154.76829528808594,-251.66793823242188,"""yellow""","""left""",False
3.180076300021028,0,53.86148452758789,53.86148452758789,154.8361053466797,-258.5351257324219,"""yellow""","""left""",False
